,album_name,artist_name,source_countries
0,"""Awaken, My Love!""",Childish Gambino,"Australia, Canada, Europe, Japan, US"
1,"""Charlie""",Melt-Banana,US
2,"""Heroes""",David Bowie,"Australia, Australia, New Zealand, Belgium, Brazil, Canada, Europe, France, Germany, Greece, Ireland, Israel, Italy, Netherlands, New Zealand, Portugal, South Africa, Spain, Turkey, UK, US"
3,"""Love and Theft""",Bob Dylan,"Australia, Brazil, Canada, China, Europe, Japan, Malaysia, Mexico, Middle East, Poland, Russia, South Africa, South Korea, Turkey, UK, US, Yugoslavia"
4,"""Luciferian Towers""",Godspeed You! Black Emperor,"Canada, Japan"
5,"""The Spaghetti Incident?""",Guns n' Roses,"Argentina, Australasia, Australia, Bolivia, Brazil, Bulgaria, Canada, Chile, Colombia, Costa Rica, Europe, France, Germany, Greece, India, Indonesia, Israel, Italy, Japan, Malaysia, Mexico, Peru, Poland, Portugal, Romania, Russia, Saudi Arabia, Singapore, South Africa, South Korea, Spain, Taiwan, Turkey, UK, US, United Arab Emirates, Uruguay, Venezuela"
6,"""Them""",King Diamond,"Brazil, Canada, Europe, Japan, Netherlands, South Korea, UK, US, US, Canada"
7,"""X""",Klaus Schulze,"Germany, Italy, Netherlands"
8,#1 Record,Big Star,US
9,'Allelujah! Don't Bend! Ascend!,Godspeed You! Black Emperor,"Canada, Germany, Japan, US, Canada"
10,"'Asunder, Sweet and Other Distress'",Godspeed You! Black Emperor,"Canada, Japan, Russia"
11,'Hours...',David Bowie,"Argentina, Australia, Brazil, Bulgaria, Canada, China, Europe, France, India, Indonesia, Italy, Japan, Mexico, Poland, Russia, South Africa, South Korea, UK, UK, Europe, US, Ukraine"
12,'Round About Midnight,Miles Davis,"Australia, Canada, Japan, New Zealand, UK, US"
13,( ),Sigur Rós,"Australia, Australia, New Zealand, Europe, Japan, Poland, Scandinavia, South Korea, UK, UK, Europe, UK, Europe, US, US"
14,(GI),Germs,US
15,(III),Crystal Castles,"Australia, Canada, Europe, Japan, Russia, US"
16,(No Pussyfooting),Fripp & Eno,"Australia, Germany, Italy, South Africa, Spain, UK"
17,(pronounced 'lĕh-'nérd 'skin-'nérd),Lynyrd Skynyrd,"Australia, France, Germany, New Zealand, South Africa, US"
18,+,Ed Sheeran,"Argentina, Australia, Brazil, Canada, Europe, India, Indonesia, Japan, Malaysia, Mexico, Philippines, Russia, Singapore, Malaysia, Hong Kong, South Africa, Thailand, UK, US"
19,...And Don't the Kids Just Love It,Television Personalities,UK
20,...And Justice for All,Metallica,"Argentina, Australasia, Australia, Canada, Colombia, Ecuador, Europe, Finland, Germany, Greece, Guatemala, Hong Kong, Hungary, Indonesia, Israel, Japan, Malaysia, Mexico, Paraguay, Philippines, Portugal, Saudi Arabia, South Africa, South Korea, Spain, Thailand, Turkey, UK, US, Yugoslavia"
21,...And Out Come the Wolves,Rancid,"Argentina, Australia, Europe, Indonesia, Japan, Malaysia, Netherlands, Philippines, South Korea, Thailand, US"
22,...And Then There Were Three...,Genesis,"Argentina, Australia, Austria, Brazil, Canada, Colombia, Europe, France, Germany, Greece, Guatemala, Ireland, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Peru, Portugal, Scandinavia, South Africa, Spain, Switzerland, Taiwan, Turkey, UK, US, Uruguay, Venezuela, Yugoslavia"
23,...And the Circus Leaves Town,Kyuss,"Australia, Canada, Europe, Germany, US"
24,...Baby One More Time,Britney Spears,"Argentina, Australia, Brazil, Europe, France, Benelux, Italy, Japan, Malaysia, New Zealand, South Africa, Taiwan, UK, UK, Europe, US"
25,"...Burn, Piano Island, Burn",The Blood Brothers,US
26,...For Victory,Bolt Thrower,"Europe, Germany, UK, US"
27,...I Care Because You Do,Aphex Twin,"Australia, Belgium, Canada, Germany, Japan, Russia, Thailand, UK, US"
28,"...In ""Jane From Occupied Europe""",Swell Maps,"Italy, UK"
29,...Is a Real Boy,Say Anything,US
30,...Like Clockwork,Queens of the Stone Age,"Argentina, Australia, New Zealand, Brazil, Colombia, Japan, Mexico, Poland, Russia, Taiwan, UK, Europe, UK, Europe, US, US, Ukraine"
31,.5: The Gray Chapter,Slipknot,"Argentina, Australia, Brazil, Canada, Colombia, Europe, Indonesia, Japan, Mexico, Russia, South Africa, South Korea, Taiwan, Thailand, US"
32,///Codename: Dustsucker,Bark Psychosis,UK
33,1.Outside,David Bowie,"Romania, US"
34,10 000 Hz Legend,AIR,"Argentina, Australasia, Brazil, Bulgaria, China, Europe, Hungary, Indonesia, Italy, Japan, Mexico, Poland, Russia, South Africa, Ukraine, Yugoslavia"
35,10 Songs,I Hate Myself,US
36,100% Electronica,George Clanton,US
37,1000 Forms of Fear,Sia,"Argentina, Australia, New Zealand, Brazil, Canada, China, Colombia, Europe, France, Indonesia, Malaysia, Mexico, Russia, South Africa, US, US, Europe"
38,1000 Hurts,Shellac,"UK, UK, US, US"
39,1000 gecs,100 gecs,US
40,1000 gecs and the Tree of Clues,100 gecs,"Europe, US"
41,100th Window,Massive Attack,"Argentina, Australia, Brazil, Bulgaria, Canada, Europe, France, Hong Kong, India, Indonesia, Japan, Malaysia, Mexico, New Zealand, Poland, Russia, South Africa, Thailand, UK, Europe, US, Ukraine"
42,1184,Windir,"Norway, Russia"
43,12 Golden Country Greats,Ween,"Australia, Canada, Europe, Germany, UK, Europe, US"
44,12 × 5,The Rolling Stones,"Australia, Canada, New Zealand, South Africa, Southern Rhodesia, UK, US"
45,13,Black Sabbath,"Argentina, Australasia, Australia, Brazil, Canada, Colombia, Europe, Germany, India, Indonesia, Japan, Malaysia, Mexico, New Zealand, Philippines, Poland, Russia, South Africa, South East Asia, US, US, Canada"
46,13,Blur,UK
47,154,Wire,"Australia, Canada, Germany, Italy, Japan, Netherlands, UK, US"
48,16 Lovers Lane,The Go-Betweens,"Australia, Canada, France, Germany, Germany, Austria, Switzerland, Greece, Israel, Italy, Japan, Scandinavia, Spain, UK, US"
49,17,XXXTentacion,US
50,18,Moby,"Argentina, Australasia, Benelux, Brazil, Bulgaria, Canada, China, Europe, Germany, Hong Kong, Indonesia, Italy, Japan, Malaysia, Mexico, Philippines, Poland, Russia, Scandinavia, South Africa, South America, South Korea, Spain, Taiwan, Thailand, UK, US, Ukraine, Venezuela"
51,1916,Motörhead,"Argentina, Australia, Brazil, Canada, Czechoslovakia, Europe, France, Germany, Greece, Indonesia, Japan, Poland, South Korea, Spain, Turkey, UK, US, Yugoslavia"
52,1983,Flying Lotus,"Europe, US"
53,1984,Van Halen,"Argentina, Australia, Austria, Benelux, Brazil, Canada, Colombia, Ecuador, Europe, France, Germany, Greece, Guatemala, Honduras, Indonesia, Ireland, Israel, Italy, Japan, Mexico, Netherlands, New Zealand, Panama, Peru, Philippines, Portugal, Scandinavia, South Africa, South Korea, Spain, Taiwan, Turkey, UK, UK, Europe, US, Uruguay, Venezuela, Yugoslavia, Zimbabwe"
54,1989,Taylor Swift,"Argentina, Australasia, Brazil, Canada, Chile, Europe, Hong Kong, Indonesia, Japan, Malaysia, Mexico, New Zealand, Philippines, Poland, Romania, Russia, South Africa, South East Asia, South Korea, Thailand, Turkey, US, US, Canada, Vietnam"
55,1990,Daniel Johnston,US
56,1992 Deluxe,Princess Nokia,"Europe, UK, US"
57,1995,Atari Teenage Riot,"Germany, UK"
58,1999,Prince,"Argentina, Australia, Australia, New Zealand, Benelux, Bolivia, Brazil, Canada, Europe, France, Greece, Indonesia, Ireland, Italy, Jamaica, Japan, Netherlands, New Zealand, Philippines, Scandinavia, South Africa, Spain, UK, UK, Europe, US, Zimbabwe"
59,2,Mac DeMarco,"Australia, UK, UK, US, US"
60,20 Jazz Funk Greats,Throbbing Gristle,UK
61,20/20,The Beach Boys,"Australia, Canada, Denmark, France, Germany, Italy, Japan, Netherlands, New Zealand, Singapore, Malaysia, Hong Kong, South Africa, Taiwan, UK, US"
62,2001,Dr. Dre,"Australasia, Bulgaria, Canada, Europe, Indonesia, Israel, Japan, Malaysia, Mexico, Middle East, Philippines, Poland, Russia, South Africa, South Korea, Thailand, UK, UK, Europe, US, Ukraine"
63,2014 Forest Hills Drive,J. Cole,"Australia, Canada, Europe, US"
64,2020,Richard Dawson,"Europe, US"
65,2112,Rush,"Australia, Brazil, Canada, Japan, Netherlands, New Zealand, Portugal, Spain, UK, US"
66,21st Century Breakdown,Green Day,"Argentina, Australia, Benelux, Brazil, Canada, Chile, Colombia, Denmark, Europe, Finland, France, Hong Kong, Indonesia, Japan, Malaysia, Mexico, Philippines, Russia, South Africa, South Korea, Taiwan, US, Ukraine"
67,"22, a Million",Bon Iver,"Australia, Europe, Japan, US"
68,23,Blonde Redhead,"Australia, Europe, France, Japan, Russia, Taiwan, UK, US"
69,24K Magic,Bruno Mars,"Benelux, Europe"
70,2Pacalypse Now,2Pac,"Canada, Germany, Malaysia, South Africa, US, Worldwide"
71,3 Feet High and Rising,De La Soul,"Australia, Benelux, Brazil, Canada, Europe, France, Germany, Germany, Switzerland, Greece, Italy, Japan, Philippines, Scandinavia, Spain, UK, US"
72,3.15.20,Childish Gambino,US
73,3001: A Laced Odyssey,Flatbush Zombies,US
74,333,Bladee,Sweden
75,39/Smooth,Green Day,US
76,3rd,Big Star,US
77,4,Beyoncé,"Argentina, Australia, Brazil, Canada, China, Colombia, Europe, Hong Kong, Indonesia, Japan, Malaysia, Mexico, Russia, Singapore, South Africa, South Korea, US, Ukraine"
78,4 Your Eyez Only,J. Cole,"Australasia, Europe, US"
