Scenario,TraceFile,Algorithm,PageTableType,PageSizeKB,MemorySizeKB,TotalAccesses,PageFaults,DirtyPages,ExecutionTimeSeconds
1,./input/compilador.log,lru,densa,4,128,1000000,84401,11737,0.150694
1,./input/compilador.log,lru,densa,4,256,1000000,59089,8863,0.147259
1,./input/compilador.log,lru,densa,4,512,1000000,40821,6131,0.144706
1,./input/compilador.log,lru,densa,4,1024,1000000,25308,4231,0.168577
1,./input/compilador.log,lru,densa,4,2048,1000000,10425,2173,0.139769
1,./input/compilador.log,lru,densa,4,4096,1000000,4391,955,0.131385
1,./input/compilador.log,lru,densa,4,8192,1000000,2904,427,0.127590
1,./input/compilador.log,lru,densa,4,16384,1000000,2852,0,0.142387
1,./input/compilador.log,lru,hier2,4,128,1000000,84401,11737,0.158474
1,./input/compilador.log,lru,hier2,4,256,1000000,59089,8863,0.149458
1,./input/compilador.log,lru,hier2,4,512,1000000,40821,6131,0.146290
1,./input/compilador.log,lru,hier2,4,1024,1000000,25308,4231,0.159915
1,./input/compilador.log,lru,hier2,4,2048,1000000,10425,2173,0.137989
1,./input/compilador.log,lru,hier2,4,4096,1000000,4391,955,0.132296
1,./input/compilador.log,lru,hier2,4,8192,1000000,2904,427,0.135987
1,./input/compilador.log,lru,hier2,4,16384,1000000,2852,0,0.164179
1,./input/compilador.log,lru,hier3,4,128,1000000,84401,11737,0.160374
1,./input/compilador.log,lru,hier3,4,256,1000000,59089,8863,0.152295
1,./input/compilador.log,lru,hier3,4,512,1000000,40821,6131,0.164507
1,./input/compilador.log,lru,hier3,4,1024,1000000,25308,4231,0.170193
1,./input/compilador.log,lru,hier3,4,2048,1000000,10425,2173,0.147302
1,./input/compilador.log,lru,hier3,4,4096,1000000,4391,955,0.142027
1,./input/compilador.log,lru,hier3,4,8192,1000000,2904,427,0.144302
1,./input/compilador.log,lru,hier3,4,16384,1000000,2852,0,0.140529
1,./input/compilador.log,lru,invertida,4,128,1000000,84401,11737,0.161335
1,./input/compilador.log,lru,invertida,4,256,1000000,59089,8863,0.167256
1,./input/compilador.log,lru,invertida,4,512,1000000,40821,6131,0.174410
1,./input/compilador.log,lru,invertida,4,1024,1000000,25308,4231,0.206841
1,./input/compilador.log,lru,invertida,4,2048,1000000,10425,2173,0.182654
1,./input/compilador.log,lru,invertida,4,4096,1000000,4391,955,0.167673
1,./input/compilador.log,lru,invertida,4,8192,1000000,2904,427,0.168487
1,./input/compilador.log,lru,invertida,4,16384,1000000,2852,0,0.165729
1,./input/compilador.log,fifo,densa,4,128,1000000,98067,16759,0.136860
1,./input/compilador.log,fifo,densa,4,256,1000000,70315,12053,0.155508
1,./input/compilador.log,fifo,densa,4,512,1000000,48526,8487,0.162975
1,./input/compilador.log,fifo,densa,4,1024,1000000,31698,5945,0.166240
1,./input/compilador.log,fifo,densa,4,2048,1000000,15609,3425,0.173516
1,./input/compilador.log,fifo,densa,4,4096,1000000,6673,1747,0.180951
1,./input/compilador.log,fifo,densa,4,8192,1000000,3432,700,0.175970
1,./input/compilador.log,fifo,densa,4,16384,1000000,2852,0,0.134616
1,./input/compilador.log,fifo,hier2,4,128,1000000,98067,16759,0.163038
1,./input/compilador.log,fifo,hier2,4,256,1000000,70315,12053,0.164645
1,./input/compilador.log,fifo,hier2,4,512,1000000,48526,8487,0.155053
1,./input/compilador.log,fifo,hier2,4,1024,1000000,31698,5945,0.161190
1,./input/compilador.log,fifo,hier2,4,2048,1000000,15609,3425,0.171576
1,./input/compilador.log,fifo,hier2,4,4096,1000000,6673,1747,0.208173
1,./input/compilador.log,fifo,hier2,4,8192,1000000,3432,700,0.167190
1,./input/compilador.log,fifo,hier2,4,16384,1000000,2852,0,0.138067
1,./input/compilador.log,fifo,hier3,4,128,1000000,98067,16759,0.185844
1,./input/compilador.log,fifo,hier3,4,256,1000000,70315,12053,0.156687
1,./input/compilador.log,fifo,hier3,4,512,1000000,48526,8487,0.152752
